Question ID,Question Format Description,Question Format Code,Question Set,Question Prompt
Q1223,Radio Button (code),0,"High-protein or breakfast bars (such as Power Bars, Balance, Clif, etc.)","Over the past month</u>, how often did you eat high-protein or breakfast bars (such as Power Bars, Balance, Clif, etc.)?"
Q1224,Radio Button (code),0,"High-protein or breakfast bars (such as Power Bars, Balance, Clif, etc.)","Each time you ate high-protein or breakfast bars, how much did you usually eat?"
Q1226,Radio Button (code),0,Protein powder,"Over the past month</u>, how often did you add protein powder to your foods or drinks?"
Q1227,Radio Button (code),0,Protein powder,"Each time you add protein powder to your foods or drinks, how much did you usually add?"
Q1229,Radio Button (code),0,Granola bars,"Over the past month</u>, how often did you eat granola bars?"
Q1230,Radio Button (code),0,Granola bars,"Each time you ate granola bars, how much did you usually eat?"
Q1231,Checkbox Index (delimited codes),7,What <b>yogurt</b> and <b>cheese</b> have you eaten?,Please check the box next to each food that you ate at least once in the past month.
Q1233,Radio Button (code),0,Yogurt (<i>NOT including frozen yogurt</i>),"Over the past month</u>, how often did you eat yogurt (NOT including frozen yogurt)?"
Q1234,Radio Button (code),0,Yogurt (<i>NOT including frozen yogurt</i>),"Each time you ate yogurt, how much did you usually eat?"
Q1235,Radio Button (code),0,Yogurt (<i>NOT including frozen yogurt</i>),How often was the yogurt you ate Greek yogurt?
Q1237,Radio Button (code),0,Cottage cheese or ricotta cheese,"Over the past month</u>, how often did you eat cottage cheese or ricotta cheese?"
Q1238,Radio Button (code),0,Cottage cheese or ricotta cheese,"Each time you ate cottage cheese or ricotta cheese, how much did you usually eat?"
Q1240,Radio Button (code),0,"Cheese (including low-fat, on cheeseburgers, or in sandwiches or subs)","Over the past month</u>, how often did you eat cheese (including low-fat, on cheeseburgers, or in sandwiches or subs)?"
Q1241,Radio Button (code),0,"Cheese (including low-fat, on cheeseburgers, or in sandwiches or subs)","Each time you ate cheese, how much did you usually eat?"
Q1242,Radio Button (code),0,"Cheese (including low-fat, on cheeseburgers, or in sandwiches or subs)",How often was the cheese you ate low-fat or fat-free?
Q1244,Radio Button (code),0,Whipped cream,"Over the past month</u>, how often did you eat whipped cream?"
Q1245,Radio Button (code),0,Whipped cream,"Each time you ate whipped cream, how much did you usually eat?"
Q1246,Radio Button (code),0,Whipped cream,How often was the whipped cream you ate whipped cream substitute (non-dairy whipped topping)?
Q1247,Checkbox Index (delimited codes),7,"What <b>sweets, baked goods,</b> or <b>desserts</b> have you eaten?",Please check the box next to each food that you ate at least once in the past month.
Q1249,Radio Button (code),0,"Frozen yogurt, sorbet, or ices","Over the past month</u>, how often did you eat frozen yogurt, sorbet, or ices?"
Q1250,Radio Button (code),0,"Frozen yogurt, sorbet, or ices","Each time you ate frozen yogurt, sorbet, or ices, how much did you usually eat?"
Q1252,Radio Button (code),0,"Ice cream, ice cream bars, or sherbet (including light, low-fat, or fat-free)","Over the past month</u>, how often did you eat ice cream, ice cream bars, or sherbet (including light, low-fat, or fat-free)?"
Q1253,Radio Button (code),0,"Ice cream, ice cream bars, or sherbet (including light, low-fat, or fat-free)","Each time you ate ice cream, ice cream bars, or sherbet, how much did you usually eat?"
Q1254,Radio Button (code),0,"Ice cream, ice cream bars, or sherbet (including light, low-fat, or fat-free)","How often was the ice cream you ate light, low-fat, or fat-free?"
Q1256,Radio Button (code),0,Cake (all kinds),"Over the past month</u>, how often did you eat cake (all kinds)?"
Q1257,Radio Button (code),0,Cake (all kinds),"Each time you ate cake, how much did you usually eat?"
Q1259,Radio Button (code),0,Pie (all kinds),"Over the past month</u>, how often did you eat pie (all kinds)?"
Q1260,Radio Button (code),0,Pie (all kinds),"Each time you ate pie, how much did you usually eat?"
Q1261,Radio Button (code),0,Pie (all kinds),How often was the pie you ate pumpkin or sweet potato pie?
Q1262,Radio Button (code),0,Pie (all kinds),"How often was the pie you ate fruit pie (such as apple, blueberry, etc.)?"
Q1264,Radio Button (code),0,Cookies (all kinds),"Over the past month</u>, how often did you eat cookies (all kinds)?"
Q1265,Radio Button (code),0,Cookies (all kinds),"Each time you ate cookies, how much did you usually eat?"
Q1267,Radio Button (code),0,Brownies (all kinds),"Over the past month</u>, how often did you eat brownies (all kinds)?"
Q1268,Radio Button (code),0,Brownies (all kinds),"Each time you ate brownies, how much did you usually eat?"
Q1270,Radio Button (code),0,"Doughnuts, sweet rolls, Danish, or Pop-Tarts","Over the past month</u>, how often did you eat doughnuts, sweet rolls, Danish, or Pop-Tarts?"
Q1271,Radio Button (code),0,"Doughnuts, sweet rolls, Danish, or Pop-Tarts","Each time you ate doughnuts, sweet rolls, Danish, or Pop-Tarts, how much did you usually eat?"
Q1273,Radio Button (code),0,Sweet muffins or dessert breads (all kinds),"Over the past month</u>, how often did you eat sweet muffins or dessert breads (all kinds)?"
Q1274,Radio Button (code),0,Sweet muffins or dessert breads (all kinds),"Each time you ate sweet muffins or dessert breads, how much did you usually eat?"
Q1276,Radio Button (code),0,Pudding or custard,"Over the past month</u>, how often did you eat pudding or custard?"
Q1277,Radio Button (code),0,Pudding or custard,"Each time you ate pudding or custard, how much did you usually eat?"
Q1279,Radio Button (code),0,"Chocolate bar or chocolate candy (such as M&Ms, Kit Kat, Mr. Goodbar, etc.)","Over the past month</u>, how often did you eat chocolate bar or chocolate candy (such as M&Ms, Kit Kat, Mr. Goodbar, etc.)?"
Q1280,Radio Button (code),0,"Chocolate bar or chocolate candy (such as M&Ms, Kit Kat, Mr. Goodbar, etc.)","Each time you ate chocolate bar or chocolate candy, how much did you usually eat?"
Q1282,Radio Button (code),0,Other types of candy,"Over the past month</u>, how often did you eat other types of candy?"
Q1283,Radio Button (code),0,Other types of candy,"Each time you ate other types of candy, how much did you usually eat?"
Q1284,Checkbox Index (delimited codes),7,What <b>spreads</b> and <b>dressings</b> have you eaten?,Please check the box next to each food that you ate at least once in the past month.
Q1286,Radio Button (code),0,Margarine,"How often was the margarine you ate light, low-fat, or fat-free (stick or tub)?"
Q1288,Radio Button (code),0,Mayonnaise or mayonnaise-type dressing,"How often was the mayonnaise you ate light, low-fat, or fat-free?"
Q1290,Radio Button (code),0,Salad dressing,"How often was the salad dressing you ate light, low-fat, or fat-free?"
Q1291,Radio Button (code),0,Summary questions,"For ALL of the past month</u>, have you followed any type of vegetarian diet?"
Q1292,Checkbox (delimited codes),1,Summary questions,Which of the following foods did you TOTALLY EXCLUDE from your diet? Mark all that apply.
Q1293,Checkbox Index (delimited codes),7,What <b>vitamins</b> and <b>dietary supplements</b> did you take?,Please check the box next to each vitamin or dietary supplement that you took at least once in the past month.
Q1295,Radio Button (code),0,"Multivitamin/mineral (such as One-A-Day, Centrum, Nutrilite, Geritol or prenatal, as pills, liquids or packets; <i>NOT including eye health supplements</i>)","Over the past month</u>, how often did you take multivitamins/minerals (such as One-A-Day, Centrum, Nutrilite, Geritol or prenatal, as pills, liquids or packets; NOT including eye health supplements)?"
Q1296,Radio Button (code),0,"Multivitamin/mineral (such as One-A-Day, Centrum, Nutrilite, Geritol or prenatal, as pills, liquids or packets; <i>NOT including eye health supplements</i>)","When you took a multivitamin, which type did you usually take?"
Q1297,Radio Button (code),0,"Multivitamin/mineral (such as One-A-Day, Centrum, Nutrilite, Geritol or prenatal, as pills, liquids or packets; <i>NOT including eye health supplements</i>)","Did your multivitamin usually contain minerals (such as iron, zinc, etc.)?"
Q1298,Radio Button (code),0,"Multivitamin/mineral (such as One-A-Day, Centrum, Nutrilite, Geritol or prenatal, as pills, liquids or packets; <i>NOT including eye health supplements</i>)",Was your multivitamin usually a gummy type?
Q1299,Radio Button (code),0,"Multivitamin/mineral (such as One-A-Day, Centrum, Nutrilite, Geritol or prenatal, as pills, liquids or packets; <i>NOT including eye health supplements</i>)","When you took gummy type multivitamins, about how many gummies did you take in one day?"
Q1301,Radio Button (code),0,"Eye health supplement (such as Ocuvite, PreserVision or I-Caps)","Over the past month</u>, how often did you take eye health supplement (such as Ocuvite, PreserVision or I-Caps)?"
Q1303,Radio Button (code),0,B-complex (<i>NOT as part of a multivitamin</i>),"Over the past month</u>, how often did you take B-complex (NOT as part of a multivitamin)?"
Q1305,Radio Button (code),0,Antacids (such as Tums or Rolaids),"Over the past month</u>, how often did you take antacids (such as Tums or Rolaids)?"
Q1306,Radio Button (code),0,Antacids (such as Tums or Rolaids),"When you took antacids, about how many tablets did you take in one day?"
Q1307,Radio Button (code),0,Antacids (such as Tums or Rolaids),"When you took antacids, what strength did you usually take?"
Q1309,Radio Button (code),0,B-12 (<i>NOT as part of a multivitamin</i>),"Over the past month</u>, how often did you take B-12 (NOT as part of a multivitamin)?"
Q1310,Radio Button (code),0,B-12 (<i>NOT as part of a multivitamin</i>),When you took B-12 about how much did you take in one day?
Q1312,Radio Button (code),0,B-6 (<i>NOT as part of a multivitamin</i>),"Over the past month</u>, how often did you take B-6 (NOT as part of a multivitamin)?"
Q1313,Radio Button (code),0,B-6 (<i>NOT as part of a multivitamin</i>),"When you took B-6, about how much did you take in one day?"
Q1315,Radio Button (code),0,Biotin (<i>NOT as part of a multivitamin</i>),"Over the past month</u>, how often did you take biotin (NOT as part of a multivitamin)?"
Q1317,Radio Button (code),0,Calcium (with or without vitamin D; <i>NOT as part of a multivitamin or antacid</i>),"Over the past month</u>, how often did you take calcium (with or without vitamin D; NOT as part of a multivitamin or antacid)?"
Q1318,Radio Button (code),0,Calcium (with or without vitamin D; <i>NOT as part of a multivitamin or antacid</i>),"When you took calcium, about how much did you take in one day? Check label for elemental calcium if possible."
Q1319,Radio Button (code),0,Calcium (with or without vitamin D; <i>NOT as part of a multivitamin or antacid</i>),Did your calcium usually contain vitamin D?
Q1320,Radio Button (code),0,Calcium (with or without vitamin D; <i>NOT as part of a multivitamin or antacid</i>),Did your calcium usually contain magnesium?
Q1321,Radio Button (code),0,Calcium (with or without vitamin D; <i>NOT as part of a multivitamin or antacid</i>),Did your calcium usually contain zinc?
Q1323,Radio Button (code),0,Coenzyme Q,"Over the past month</u>, how often did you take coenzyme Q?"
Q1325,Radio Button (code),0,Fiber supplement (such as Metamucil or Benefiber),"Over the past month</u>, how often did you take fiber supplements (such as Metamucil or Benefiber)?"
Q1327,Radio Button (code),0,Folate or folic acid  (<i>NOT as part of a multivitamin</i>),"Over the past month</u>, how often did you take folate or folic acid (NOT as part of a multivitamin)?"
Q1328,Radio Button (code),0,Folate or folic acid  (<i>NOT as part of a multivitamin</i>),"When you took folate or folic acid, about how much did you take in one day?"
Q1330,Radio Button (code),0,Garlic supplement,"Over the past month</u>, how often did you take a garlic supplements?"
Q1332,Radio Button (code),0,"Joint supplement (such as glucosamine, with or without chondroitin or other ingredients)","Over the past month</u>, how often did you take a joint supplement (such as glucosamine, with or without chondroitin or other ingredients)?"
Q1334,Radio Button (code),0,Iron (<i>NOT as part of a multivitamin</i>),"Over the past month</u>, how often did you take iron (NOT as part of a multivitamin)?"
Q1335,Radio Button (code),0,Iron (<i>NOT as part of a multivitamin</i>),"When you took iron, about how much did you take in one day?"
Q1337,Radio Button (code),0,Magnesium (<i>NOT as part of a multivitamin</i>),"Over the past month</u>, how often did you take magnesium (NOT as part of a multivitamin)?"
Q1338,Radio Button (code),0,Magnesium (<i>NOT as part of a multivitamin</i>),"When you took magnesium, about how much did you take in one day?"
Q1340,Radio Button (code),0,Melatonin,"Over the past month</u>, how often did you take melatonin?"
Q1342,Radio Button (code),0,Niacin (<i>NOT as part of a multivitamin</i>),"Over the past month</u>, how often did you take niacin (NOT as part of a multivitamin)?"
Q1343,Radio Button (code),0,Niacin (<i>NOT as part of a multivitamin</i>),When you took niacin about how much did you take in one day?
Q1345,Radio Button (code),0,Omega-3 (ALA/DHA/EPA) or fish oil,"Over the past month</u>, how often did you take omega-3 (ALA/DHA/EPA) or fish oil?"
Q1347,Radio Button (code),0,Potassium (<i>NOT as part of a multivitamin</i>),"Over the past month</u>, how often did you take potassium (NOT as part of a multivitamin)?"
Q1348,Radio Button (code),0,Potassium (<i>NOT as part of a multivitamin</i>),"When you took potassium, about how much did you take in one day?"
Q1350,Radio Button (code),0,"Probiotics (in pill, powder, or liquid form)","Over the past month</u>, how often did you take probiotics (in pill, powder, or liquid form)?"
Q1352,Radio Button (code),0,Saw palmetto,"Over the past month</u>, how often did you take saw palmetto?"
Q1354,Radio Button (code),0,Vitamin C (<i>NOT as part of a multivitamin</i>),"Over the past month</u>, how often did you take vitamin C (NOT as part of a multivitamin)?"
Q1355,Radio Button (code),0,Vitamin C (<i>NOT as part of a multivitamin</i>),"When you took vitamin C, about how much did you take in one day?"
Q1357,Radio Button (code),0,Vitamin D (<i>NOT as part of a multivitamin or calcium supplement</i>),"Over the past month</u>, how often did you take vitamin D (NOT as part of a multivitamin or calcium supplement)?"
Q1358,Radio Button (code),0,Vitamin D (<i>NOT as part of a multivitamin or calcium supplement</i>),"When you took vitamin D, about how much did you take in one day?"
Q1360,Radio Button (code),0,Vitamin E (<i>NOT as part of a multivitamin</i>)?,"Over the past month</u>, how often did you take vitamin E (NOT as part of a multivitamin)?"
Q1361,Radio Button (code),0,Vitamin E (<i>NOT as part of a multivitamin</i>)?,"When you took vitamin E, about how much did you take in one day?"
Q1363,Radio Button (code),0,Zinc (<i>NOT as part of a multivitamin</i>)?,"Over the past month</u>, how often did you take zinc (NOT as part of a multivitamin)?"
Q1364,Radio Button (code),0,Zinc (<i>NOT as part of a multivitamin</i>)?,"When you took zinc, about how much did you take in one day?"
Q1366,Checkbox (delimited codes),1,Other supplements (<i>NOT as part of a multivitamin</i>),"Please mark any of the following herbal, botanical, or other supplements (NOT as part of a multivitamin) you took more than once per week:"
